STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,149.4,41.0191,-74.2334,20150101,417,203,1075,399,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,149.4,41.0191,-74.2334,20150201,262,394,529,499,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,149.4,41.0191,-74.2334,20150301,224,483,946,292,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,149.4,41.0191,-74.2334,20150401,361,13,736,15,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,149.4,41.0191,-74.2334,20150501,86,0,143,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,149.4,41.0191,-74.2334,20150601,310,0,1789,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAMT0078,BLUE BELL 0.8 NE PA US,106.7,40.153,-75.2564,20150101,351,-9999,1057,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAMT0078,BLUE BELL 0.8 NE PA US,106.7,40.153,-75.2564,20150201,180,-9999,287,89,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAMT0078,BLUE BELL 0.8 NE PA US,106.7,40.153,-75.2564,20150301,246,203,1500,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAMT0078,BLUE BELL 0.8 NE PA US,106.7,40.153,-75.2564,20150401,307,-9999,597,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAMT0078,BLUE BELL 0.8 NE PA US,106.7,40.153,-75.2564,20150501,13,-9999,31,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAMT0078,BLUE BELL 0.8 NE PA US,106.7,40.153,-75.2564,20150601,483,-9999,1977,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAMT0076,PERKIOMENVILLE 4.6 SW PA US,68.9,40.2825,-75.5451,20150101,312,-9999,518,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAMT0076,PERKIOMENVILLE 4.6 SW PA US,68.9,40.2825,-75.5451,20150201,84,-9999,84,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAMT0076,PERKIOMENVILLE 4.6 SW PA US,68.9,40.2825,-75.5451,20150301,236,-9999,692,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAMT0076,PERKIOMENVILLE 4.6 SW PA US,68.9,40.2825,-75.5451,20150401,279,-9999,581,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAMT0076,PERKIOMENVILLE 4.6 SW PA US,68.9,40.2825,-75.5451,20150501,76,-9999,81,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1PAMT0076,PERKIOMENVILLE 4.6 SW PA US,68.9,40.2825,-75.5451,20150601,318,-9999,986,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0055,EDISON TWP 1.4 N NJ US,41.8,40.5558,-74.3684,20150101,480,152,976,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0055,EDISON TWP 1.4 N NJ US,41.8,40.5558,-74.3684,20150201,175,-9999,175,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0055,EDISON TWP 1.4 N NJ US,41.8,40.5558,-74.3684,20150301,155,-9999,155,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJMD0058,SAYREVILLE 1.3 ESE NJ US,41.8,40.4565,-74.2994,20150401,180,-9999,271,0,-9999,-9999,-9999,-9999,-9999
