latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
41.92602,-122.20769,300.8,0.51,0.41,2019-12-04,1024,1,VIIRS,n,2.0NRT,267.2,1.3,N
41.78465,-122.94436,297.2,0.48,0.4,2019-12-04,1024,1,VIIRS,n,2.0NRT,262.1,1.2,N
41.78354,-122.9388,307.8,0.48,0.4,2019-12-04,1024,1,VIIRS,n,2.0NRT,261.1,1.6,N
41.79267,-122.94643,312.3,0.48,0.4,2019-12-04,1024,1,VIIRS,n,2.0NRT,264.3,2.2,N
39.40719,-120.81914,308,0.44,0.46,2019-12-04,1024,1,VIIRS,n,2.0NRT,267.6,0.6,N
39.40524,-120.83009,298.4,0.44,0.46,2019-12-04,1024,1,VIIRS,n,2.0NRT,262.6,1.3,N
39.40417,-120.82536,302.4,0.44,0.46,2019-12-04,1024,1,VIIRS,n,2.0NRT,265.5,1.2,N
39.40008,-120.82685,296.7,0.44,0.46,2019-12-04,1024,1,VIIRS,n,2.0NRT,267.7,1.2,N
39.4929,-120.39539,315.5,0.46,0.47,2019-12-04,1024,1,VIIRS,n,2.0NRT,270,2.4,N
39.49356,-120.39236,311,0.46,0.47,2019-12-04,1024,1,VIIRS,n,2.0NRT,269.9,1.7,N
41.93049,-122.63266,328.9,0.34,0.56,2019-12-04,2148,1,VIIRS,n,2.0NRT,269.8,7,D
41.22825,-122.99209,328.5,0.32,0.55,2019-12-04,2148,1,VIIRS,n,2.0NRT,274.3,2.1,D
41.22665,-122.99238,328,0.32,0.55,2019-12-04,2148,1,VIIRS,n,2.0NRT,273.6,2.4,D
41.93075,-122.62791,356.4,0.34,0.56,2019-12-04,2148,1,VIIRS,l,2.0NRT,269.2,12,D
37.18462,-121.68016,302.7,0.42,0.38,2019-12-05,1006,1,VIIRS,n,2.0NRT,279.1,0.6,N
41.55018,-122.14908,301.3,0.39,0.36,2019-12-05,1006,1,VIIRS,n,2.0NRT,269.7,1.2,N
41.82552,-122.15672,304.3,0.39,0.36,2019-12-05,1006,1,VIIRS,n,2.0NRT,268.7,1.4,N
34.62277,-117.10331,300.3,0.49,0.49,2019-12-05,1006,1,VIIRS,n,2.0NRT,279,1.1,N
37.45588,-121.9312,305,0.41,0.37,2019-12-05,1006,1,VIIRS,n,2.0NRT,279.7,0.8,N
33.77732,-118.23829,296.8,0.44,0.46,2019-12-05,1006,1,VIIRS,n,2.0NRT,284.3,1.1,N
41.85883,-122.1516,298.3,0.39,0.36,2019-12-05,1006,1,VIIRS,n,2.0NRT,267.6,0.6,N
33.61541,-117.82301,301.4,0.47,0.48,2019-12-05,1006,1,VIIRS,n,2.0NRT,282.3,1,N
37.7426,-119.57391,302.3,0.49,0.4,2019-12-05,1006,1,VIIRS,n,2.0NRT,273.4,0.7,N
41.54619,-122.1456,311.3,0.39,0.36,2019-12-05,1006,1,VIIRS,n,2.0NRT,268.3,1.2,N
34.60984,-117.33485,306.5,0.48,0.48,2019-12-05,1006,1,VIIRS,n,2.0NRT,278.3,2,N
37.1482,-119.30341,299.9,0.51,0.41,2019-12-05,1006,1,VIIRS,n,2.0NRT,274.5,0.9,N
41.82701,-122.16587,324.3,0.39,0.36,2019-12-05,1006,1,VIIRS,n,2.0NRT,268.6,2.3,N
41.83677,-122.16293,316.3,0.39,0.36,2019-12-05,1006,1,VIIRS,n,2.0NRT,267.6,1.1,N
37.26003,-119.34962,296,0.51,0.41,2019-12-05,1006,1,VIIRS,n,2.0NRT,271.6,0.7,N
37.26368,-119.34834,295.6,0.51,0.41,2019-12-05,1006,1,VIIRS,n,2.0NRT,272.1,0.7,N
34.62173,-117.1011,305.7,0.49,0.49,2019-12-05,1006,1,VIIRS,n,2.0NRT,280.4,1.6,N
36.35883,-114.91348,306.8,0.59,0.53,2019-12-05,1006,1,VIIRS,n,2.0NRT,279.6,1.5,N
33.55521,-116.00638,325.5,0.58,0.7,2019-12-05,1942,1,VIIRS,n,2.0NRT,286.4,1.8,D
35.55622,-115.4698,339,0.48,0.65,2019-12-05,1948,1,VIIRS,n,2.0NRT,284.5,6.3,D
35.57207,-115.48108,330.2,0.48,0.65,2019-12-05,1948,1,VIIRS,n,2.0NRT,284.4,3.1,D
38.35074,-120.26541,326.3,0.72,0.75,2019-12-05,1948,1,VIIRS,n,2.0NRT,272,4.7,D
41.10268,-123.12968,329.8,0.55,0.43,2019-12-05,2130,1,VIIRS,n,2.0NRT,280.5,10.4,D
41.10023,-123.11475,329.8,0.55,0.43,2019-12-05,2130,1,VIIRS,n,2.0NRT,280.6,6.3,D
40.50038,-123.74944,339.2,0.51,0.41,2019-12-05,2130,1,VIIRS,n,2.0NRT,280.2,7.7,D
40.1188,-122.12258,354.2,0.4,0.44,2019-12-05,2130,1,VIIRS,n,2.0NRT,266.1,17.3,D
41.78658,-123.31802,334.4,0.55,0.43,2019-12-05,2130,1,VIIRS,n,2.0NRT,281.2,4.7,D
41.97628,-122.62636,328,0.39,0.44,2019-12-05,2130,1,VIIRS,n,2.0NRT,272,3.3,D
41.22692,-123.00003,332.3,0.56,0.43,2019-12-05,2130,1,VIIRS,n,2.0NRT,274.8,5.4,D
38.54434,-120.35814,325.9,0.39,0.36,2019-12-06,0948,1,VIIRS,n,2.0NRT,278.1,5.4,N
38.54369,-120.35366,295.4,0.39,0.36,2019-12-06,0948,1,VIIRS,n,2.0NRT,275.3,3.2,N
38.53005,-120.589,334.5,0.39,0.37,2019-12-06,0948,1,VIIRS,n,2.0NRT,279.2,6,N
38.87646,-120.6589,352.6,0.4,0.37,2019-12-06,0948,1,VIIRS,n,2.0NRT,281.3,4.4,N
